Timestamp,Type,Peer,Message,Source Peer
2025-02-19 20:36:43,Sent,P2,Hello from P1 at 20:36:43,P1
2025-02-19 20:36:43,Sent,P3,Hello from P1 at 20:36:43,P1
2025-02-19 20:36:43,Sent,P4,Hello from P1 at 20:36:43,P1
2025-02-19 20:36:43,Received,P4,Hello from P4 at 20:36:43,P1
2025-02-19 20:36:43,Received,P2,Hello from P2 at 20:36:43,P1
2025-02-19 20:36:43,Received,P3,Hello from P3 at 20:36:43,P1
2025-02-19 20:36:45,Sent,P2,Hello from P1 at 20:36:45,P1
2025-02-19 20:36:45,Sent,P3,Hello from P1 at 20:36:45,P1
2025-02-19 20:36:45,Sent,P4,Hello from P1 at 20:36:45,P1
2025-02-19 20:36:45,Received,P4,Hello from P4 at 20:36:45,P1
2025-02-19 20:36:45,Received,P2,Hello from P2 at 20:36:45,P1
2025-02-19 20:36:45,Received,P3,Hello from P3 at 20:36:45,P1
2025-02-19 20:36:47,Sent,P2,Hello from P1 at 20:36:47,P1
2025-02-19 20:36:47,Sent,P3,Hello from P1 at 20:36:47,P1
2025-02-19 20:36:47,Sent,P4,Hello from P1 at 20:36:47,P1
2025-02-19 20:36:47,Received,P2,Hello from P2 at 20:36:47,P1
2025-02-19 20:36:47,Received,P4,Hello from P4 at 20:36:47,P1
2025-02-19 20:36:47,Received,P3,Hello from P3 at 20:36:47,P1
2025-02-19 20:36:49,Sent,P2,Hello from P1 at 20:36:49,P1
2025-02-19 20:36:49,Sent,P3,Hello from P1 at 20:36:49,P1
2025-02-19 20:36:49,Sent,P4,Hello from P1 at 20:36:49,P1
2025-02-19 20:36:49,Received,P4,Hello from P4 at 20:36:49,P1
2025-02-19 20:36:49,Received,P2,Hello from P2 at 20:36:49,P1
2025-02-19 20:36:49,Received,P3,Hello from P3 at 20:36:49,P1
2025-02-19 20:36:51,Sent,P2,Hello from P1 at 20:36:51,P1
2025-02-19 20:36:51,Sent,P3,Hello from P1 at 20:36:51,P1
2025-02-19 20:36:51,Sent,P4,Hello from P1 at 20:36:51,P1
2025-02-19 20:36:51,Received,P2,Hello from P2 at 20:36:51,P1
2025-02-19 20:36:51,Received,P4,Hello from P4 at 20:36:51,P1
2025-02-19 20:36:51,Received,P3,Hello from P3 at 20:36:51,P1
2025-02-19 20:36:53,Sent,P2,Hello from P1 at 20:36:53,P1
2025-02-19 20:36:53,Sent,P3,Hello from P1 at 20:36:53,P1
2025-02-19 20:36:53,Sent,P4,Hello from P1 at 20:36:53,P1
2025-02-19 20:36:53,Received,P4,Hello from P4 at 20:36:53,P1
2025-02-19 20:36:53,Received,P2,Hello from P2 at 20:36:53,P1
2025-02-19 20:36:53,Received,P3,Hello from P3 at 20:36:53,P1
2025-02-19 20:36:55,Sent,P2,Hello from P1 at 20:36:55,P1
2025-02-19 20:36:55,Sent,P3,Hello from P1 at 20:36:55,P1
2025-02-19 20:36:55,Sent,P4,Hello from P1 at 20:36:55,P1
2025-02-19 20:36:55,Received,P4,Hello from P4 at 20:36:55,P1
2025-02-19 20:36:55,Received,P3,Hello from P3 at 20:36:55,P1
2025-02-19 20:36:55,Received,P2,Hello from P2 at 20:36:55,P1
2025-02-19 20:36:57,Sent,P2,Hello from P1 at 20:36:57,P1
2025-02-19 20:36:57,Sent,P3,Hello from P1 at 20:36:57,P1
2025-02-19 20:36:57,Sent,P4,Hello from P1 at 20:36:57,P1
2025-02-19 20:36:57,Received,P2,Hello from P2 at 20:36:57,P1
